iter	RMSE
0	3922.770002
1	3812.174962
2	3707.244169
3	3603.638154
4	3502.701548
5	3405.351829
6	3311.445356
7	3221.516894
8	3134.517071
9	3049.150074
10	2965.530099
11	2884.953285
12	2806.927888
13	2732.098201
14	2658.490251
15	2587.350526
16	2519.346657
17	2452.119795
18	2386.945839
19	2324.737363
20	2263.820643
21	2204.583928
22	2147.531224
23	2093.377274
24	2039.6057
25	1987.413186
26	1937.184381
27	1888.433233
28	1841.452579
29	1796.550627
30	1752.989689
31	1710.69181
32	1669.574846
33	1629.621262
34	1591.671464
35	1554.1088
36	1517.961775
37	1482.861045
38	1448.945783
39	1416.899488
40	1385.857445
41	1356.273553
42	1326.837394
43	1298.358547
44	1270.758639
45	1244.189013
46	1219.174689
47	1194.208415
48	1170.892005
49	1148.103009
50	1126.463198
51	1105.007463
52	1084.241008
53	1064.925344
54	1046.333103
55	1027.884188
56	1010.578703
57	993.47456
58	977.3182052
59	961.5292518
60	946.3422975
61	932.28419
62	917.6878179
63	903.8014787
64	890.3135945
65	877.7613192
66	865.2222783
67	853.4128214
68	842.2242637
69	831.7089338
70	821.8485879
71	812.5541044
72	803.185081
73	793.939394
74	785.5675481
75	777.3917148
76	769.7360601
77	762.2571902
78	754.8250543
79	747.7912705
80	741.1800019
81	734.8031835
82	728.7885522
83	722.8657488
84	716.998503
85	711.6288254
86	706.4749829
87	701.4417441
88	696.6014002
89	691.9368147
90	687.6174991
91	683.4679714
92	679.5102157
93	675.6964097
94	671.9775703
95	668.5815062
96	665.083842
97	661.8411092
98	658.767812
99	655.8931618
100	653.1504524
101	650.3137409
102	647.6888718
103	645.0421807
104	642.5055199
105	640.1161751
106	637.7965157
107	635.6294796
108	633.5621634
109	631.5954211
110	629.6734038
111	627.8359018
112	626.1153035
113	624.4965346
114	622.7756395
115	621.1803757
116	619.6146026
117	618.1401237
118	616.7050552
119	615.3955084
120	614.1444851
121	612.8565066
122	611.7178675
123	610.5696445
124	609.4966444
125	608.3614659
126	607.371399
127	606.3972453
128	605.3750177
129	604.4467839
130	603.5234915
131	602.66918
132	601.8059773
133	601.0111147
134	600.2498964
135	599.4431077
136	598.6664764
137	598.0252296
138	597.4174659
139	596.8218561
140	596.1480006
141	595.5674576
142	595.0191918
143	594.3990992
144	593.8888666
145	593.4018821
146	592.9037503
147	592.3235011
148	591.8536753
149	591.4124496
150	590.8880832
151	590.4657073
152	589.9711631
153	589.5172341
154	589.1119065
155	588.6934275
156	588.2504034
157	587.8319984
158	587.4655189
159	587.0859428
160	586.7566991
161	586.4216461
162	586.0800567
163	585.7746758
164	585.4407916
165	585.1442015
166	584.8578507
167	584.5716799
168	584.2152014
169	583.9236524
170	583.6756942
171	583.4038026
172	583.104472
173	582.8480806
174	582.5280243
175	582.2990264
176	582.0535069
177	581.8725177
178	581.5867339
179	581.3232263
180	581.0755624
181	580.8425433
182	580.5931956
183	580.4025764
184	580.2213688
185	580.0187859
186	579.8094697
187	579.5644526
188	579.4127752
189	579.226411
190	578.9856024
191	578.7883524
192	578.5280412
193	578.3665434
194	578.2304226
195	578.0517448
196	577.8948033
197	577.7700236
198	577.6139755
199	577.4732402
200	577.3390445
201	577.1900746
202	577.0844484
203	576.9550759
204	576.7452268
205	576.6076393
206	576.4554759
207	576.2636368
208	576.1535365
209	576.0677973
210	575.9499456
211	575.840985
212	575.715757
213	575.5868643
214	575.4635833
215	575.3150443
216	575.1922764
217	575.0719354
218	574.9428031
219	574.8509437
220	574.6937537
221	574.5181936
222	574.4009118
223	574.2850108
224	574.1816035
225	574.0328534
226	573.9114555
227	573.8243983
228	573.706102
229	573.5512056
230	573.4775329
231	573.3820934
232	573.2829107
233	573.1912759
234	573.1267794
235	573.026189
236	572.9060979
237	572.8219645
238	572.746677
239	572.6749791
240	572.5827904
241	572.5152607
242	572.4431075
243	572.3752496
244	572.2488874
245	572.1286959
246	572.033047
247	571.9462469
248	571.8459422
249	571.7596612
250	571.6954468
251	571.6238093
252	571.5473823
253	571.4785629
254	571.4066815
255	571.3458182
256	571.2404826
257	571.1806369
258	571.0901829
259	571.0027929
260	570.9141537
261	570.8224516
262	570.7583236
263	570.6669021
264	570.5739635
265	570.4707443
266	570.364845
267	570.3078565
268	570.256244
269	570.1992001
270	570.0836071
271	570.0071841
272	569.9200932
273	569.8775664
274	569.8140738
275	569.7347617
276	569.6941291
277	569.5954828
278	569.4968946
279	569.3978349
280	569.3245185
281	569.2360621
282	569.1739363
283	569.1123788
284	569.0558351
285	568.9878172
286	568.895835
287	568.8234138
288	568.7713855
289	568.7164465
290	568.6305401
291	568.5592649
292	568.515465
293	568.4216715
294	568.3381811
295	568.2452091
296	568.1519247
297	568.1066275
298	568.0556199
299	567.9783595
300	567.9296754
301	567.8201731
302	567.7150307
303	567.6481317
304	567.5792268
305	567.5197981
306	567.484549
307	567.4062611
308	567.352176
309	567.2526497
310	567.1988648
311	567.1367585
312	567.078432
313	567.0119329
314	566.9405052
315	566.8581685
316	566.7856423
317	566.723875
318	566.674254
319	566.6152043
320	566.5567374
321	566.5180919
322	566.475236
323	566.3893946
324	566.2948843
325	566.2049799
326	566.1600854
327	566.1134288
328	566.0696746
329	566.0020383
330	565.8950165
331	565.8490539
332	565.7897781
333	565.7490247
334	565.6800639
335	565.6227377
336	565.5326803
337	565.4545191
338	565.4061091
339	565.3509196
340	565.3150867
341	565.2355794
342	565.1580027
343	565.1031904
344	565.0515181
345	564.985026
346	564.9231744
347	564.8484194
348	564.7776765
349	564.6790458
350	564.6410723
351	564.6043299
352	564.5398719
353	564.4746691
354	564.4335121
355	564.3748361
356	564.3191834
357	564.2414264
358	564.2075016
359	564.154414
360	564.105914
361	564.075182
362	564.0259315
363	563.9770762
364	563.9118435
365	563.8651595
366	563.783919
367	563.7171583
368	563.6571036
369	563.6094498
370	563.5728352
371	563.4762197
372	563.403737
373	563.3426593
374	563.2931311
375	563.2306865
376	563.178637
377	563.1269198
378	563.0615012
379	563.0172733
380	562.9571028
381	562.8984178
382	562.8548041
383	562.7927893
384	562.6676563
385	562.5995173
386	562.5271752
387	562.4569257
388	562.4088465
389	562.3679185
390	562.3264662
391	562.2836825
392	562.2296422
393	562.1547297
394	562.1196135
395	562.1084076
396	562.0593568
397	561.9994897
398	561.9306687
399	561.875269
400	561.8093903
401	561.771867
402	561.7203407
403	561.6698901
404	561.6112511
405	561.547191
406	561.5170253
407	561.4738098
408	561.4170895
409	561.3274107
410	561.2639694
411	561.2175104
412	561.1839152
413	561.1322476
414	561.0859049
415	561.0484883
416	561.0211687
417	560.9569227
418	560.9116448
419	560.869259
420	560.8162782
421	560.7737749
422	560.7153495
423	560.667409
424	560.6359889
425	560.5855458
426	560.5392085
427	560.4993056
428	560.444968
429	560.3861463
430	560.3545548
431	560.3032701
432	560.2455861
433	560.1932849
434	560.1391306
435	560.1055868
436	560.0499317
437	560.0335165
438	559.9974585
439	559.9541043
440	559.9079487
441	559.8647106
442	559.8113728
443	559.7555255
444	559.707368
