iter	Passed	Remaining
0	22	13548
1	51	15511
2	81	16144
3	108	16106
4	135	16129
5	163	16221
6	192	16281
7	220	16322
8	248	16336
9	276	16328
10	305	16379
11	333	16320
12	361	16323
13	391	16376
14	423	16508
15	452	16501
16	481	16515
17	508	16455
18	535	16381
19	564	16371
20	597	16460
21	626	16469
22	654	16422
23	681	16364
24	714	16434
25	746	16471
26	773	16424
27	803	16421
28	835	16441
29	865	16438
30	897	16478
31	928	16489
32	958	16472
33	985	16400
34	1011	16334
35	1046	16401
36	1080	16445
37	1109	16416
38	1136	16347
39	1164	16307
40	1194	16284
41	1222	16236
42	1250	16192
43	1280	16176
44	1309	16153
45	1338	16119
46	1364	16058
47	1394	16034
48	1423	16004
49	1452	15976
50	1480	15938
51	1508	15898
52	1542	15922
53	1573	15909
54	1602	15878
55	1629	15828
56	1659	15810
57	1687	15770
58	1716	15739
59	1748	15739
60	1777	15705
61	1803	15646
62	1831	15612
63	1862	15595
64	1891	15572
65	1921	15543
66	1949	15511
67	1976	15466
68	2005	15432
69	2037	15430
70	2071	15437
71	2101	15408
72	2128	15367
73	2155	15320
74	2185	15297
75	2215	15278
76	2244	15247
77	2273	15217
78	2302	15186
79	2330	15146
80	2358	15113
81	2389	15094
82	2418	15065
83	2448	15038
84	2475	14996
85	2502	14957
86	2534	14947
87	2563	14912
88	2591	14878
89	2621	14853
90	2651	14828
91	2678	14787
92	2704	14743
93	2730	14699
94	2757	14657
95	2790	14652
96	2819	14619
97	2844	14572
98	2871	14531
99	2898	14490
100	2929	14474
101	2966	14482
102	2997	14464
103	3032	14460
104	3065	14451
105	3099	14443
106	3130	14426
107	3160	14397
108	3200	14417
109	3230	14390
110	3256	14344
111	3281	14297
112	3310	14265
113	3336	14224
114	3365	14194
115	3392	14154
116	3420	14120
117	3453	14107
118	3482	14075
119	3510	14042
120	3537	14005
121	3565	13968
122	3596	13947
123	3624	13912
124	3650	13870
125	3677	13833
126	3702	13789
127	3729	13753
128	3757	13720
129	3783	13678
130	3813	13651
131	3841	13618
132	3869	13586
133	3896	13548
134	3921	13508
135	3949	13473
136	3980	13451
137	4009	13424
138	4039	13396
139	4066	13362
140	4094	13330
141	4124	13304
142	4154	13275
143	4179	13234
144	4202	13188
145	4230	13156
146	4258	13121
147	4287	13093
148	4313	13056
149	4341	13025
150	4371	12998
151	4397	12959
152	4423	12922
153	4452	12895
154	4481	12866
155	4512	12842
156	4539	12809
157	4566	12774
158	4592	12737
159	4622	12711
160	4651	12683
161	4678	12649
162	4705	12616
163	4733	12584
164	4760	12550
165	4786	12514
166	4812	12478
167	4837	12439
168	4864	12405
169	4890	12370
170	4920	12344
171	4947	12312
172	4974	12277
173	5002	12248
174	5035	12229
175	5064	12200
176	5092	12169
177	5119	12136
178	5146	12103
179	5174	12074
180	5201	12040
181	5230	12012
182	5257	11980
183	5283	11944
184	5309	11909
185	5334	11872
186	5361	11840
187	5391	11815
188	5419	11785
189	5445	11750
190	5472	11719
191	5498	11683
192	5526	11653
193	5556	11628
194	5585	11600
195	5612	11568
196	5636	11530
197	5661	11494
198	5687	11461
199	5715	11431
200	5742	11399
201	5770	11369
202	5794	11332
203	5820	11298
204	5855	11281
205	5886	11258
206	5914	11229
207	5944	11203
208	5973	11174
209	5999	11141
210	6026	11110
211	6053	11079
212	6081	11049
213	6114	11028
214	6142	10999
215	6168	10966
216	6191	10928
217	6214	10889
218	6240	10857
219	6267	10825
220	6296	10797
221	6325	10769
222	6349	10734
223	6376	10703
224	6402	10671
225	6432	10645
226	6459	10614
227	6487	10585
228	6512	10551
229	6540	10521
230	6569	10493
231	6598	10466
232	6625	10436
233	6649	10401
234	6675	10368
235	6701	10336
236	6729	10307
237	6761	10284
238	6786	10250
239	6811	10216
240	6837	10185
241	6864	10154
242	6891	10125
243	6921	10098
244	6951	10072
245	6984	10050
246	7012	10022
247	7037	9988
248	7063	9956
249	7090	9926
250	7119	9898
251	7145	9868
252	7173	9838
253	7196	9803
254	7223	9773
255	7247	9739
256	7273	9707
257	7298	9674
258	7326	9645
259	7350	9612
260	7377	9582
261	7404	9551
262	7430	9521
263	7456	9489
264	7486	9463
265	7513	9434
266	7541	9405
267	7564	9370
268	7593	9343
269	7620	9313
270	7648	9285
271	7675	9256
272	7700	9223
273	7731	9198
274	7758	9169
275	7783	9136
276	7813	9110
277	7840	9081
278	7865	9050
279	7888	9015
280	7915	8986
281	7947	8961
282	7980	8939
283	8008	8911
284	8035	8881
285	8063	8853
286	8087	8820
287	8113	8789
288	8140	8760
289	8171	8734
290	8196	8703
291	8222	8673
292	8248	8642
293	8276	8614
294	8300	8581
295	8327	8552
296	8357	8525
297	8383	8495
298	8410	8467
299	8438	8438
300	8467	8411
301	8492	8379
302	8521	8353
303	8552	8326
304	8576	8295
305	8603	8266
306	8632	8239
307	8662	8212
308	8690	8184
309	8717	8154
310	8742	8124
311	8770	8095
312	8798	8067
313	8823	8036
314	8848	8005
315	8873	7974
316	8902	7947
317	8930	7919
318	8956	7889
319	8981	7859
320	9007	7828
321	9043	7807
322	9071	7779
323	9103	7754
324	9131	7726
325	9159	7698
326	9191	7673
327	9221	7646
328	9254	7622
329	9283	7595
330	9313	7568
331	9343	7542
332	9375	7517
333	9404	7489
334	9435	7463
335	9462	7435
336	9490	7406
337	9523	7381
338	9551	7353
339	9577	7323
340	9608	7298
341	9635	7268
342	9665	7242
343	9695	7215
344	9723	7186
345	9758	7163
346	9790	7138
347	9817	7109
348	9846	7081
349	9874	7053
350	9903	7025
351	9934	6999
352	9965	6973
353	9998	6948
354	10030	6922
355	10058	6894
356	10086	6865
357	10115	6838
358	10147	6812
359	10177	6784
360	10208	6758
361	10242	6734
362	10272	6706
363	10302	6679
364	10334	6653
365	10365	6627
366	10395	6600
367	10429	6575
368	10458	6547
369	10485	6517
370	10516	6491
371	10547	6464
372	10579	6438
373	10607	6409
374	10636	6381
375	10666	6354
376	10698	6328
377	10727	6300
378	10758	6273
379	10790	6247
380	10816	6217
381	10843	6188
382	10870	6158
383	10897	6130
384	10931	6104
385	10967	6080
386	10998	6053
387	11027	6025
388	11054	5996
389	11088	5970
390	11118	5942
391	11149	5915
392	11176	5887
393	11205	5858
394	11230	5828
395	11261	5801
396	11289	5772
397	11318	5744
398	11348	5716
399	11377	5688
400	11407	5661
401	11442	5635
402	11469	5606
403	11502	5580
404	11534	5553
405	11561	5524
406	11588	5495
407	11618	5467
408	11648	5439
409	11686	5415
410	11718	5388
411	11751	5362
412	11788	5337
413	11819	5310
414	11850	5282
415	11883	5256
416	11912	5227
417	11951	5203
418	11983	5176
419	12015	5149
420	12049	5123
421	12082	5096
422	12113	5068
423	12146	5041
424	12183	5016
425	12212	4988
426	12241	4959
427	12271	4931
428	12304	4904
429	12334	4876
430	12363	4847
431	12389	4818
432	12417	4789
433	12445	4760
434	12472	4730
435	12495	4700
436	12520	4670
437	12547	4640
438	12579	4613
439	12607	4584
440	12634	4555
441	12660	4525
442	12687	4496
443	12717	4468
444	12743	4438
445	12772	4410
446	12798	4380
447	12829	4352
448	12858	4324
449	12890	4296
450	12930	4272
451	12972	4247
452	13012	4222
453	13055	4198
454	13097	4174
455	13134	4147
456	13167	4120
457	13209	4095
458	13241	4067
459	13278	4041
460	13309	4013
461	13338	3984
462	13367	3955
463	13395	3926
464	13430	3899
465	13459	3870
466	13489	3841
467	13520	3813
468	13553	3785
469	13587	3758
470	13624	3731
471	13660	3704
472	13691	3676
473	13725	3648
474	13753	3619
475	13778	3589
476	13808	3560
477	13839	3532
478	13871	3504
479	13900	3475
480	13934	3447
481	13963	3418
482	13996	3390
483	14025	3361
484	14059	3333
485	14091	3305
486	14119	3276
487	14146	3246
488	14175	3217
489	14201	3188
490	14228	3158
491	14258	3129
492	14289	3101
493	14321	3073
494	14348	3043
495	14378	3014
496	14409	2986
497	14436	2956
498	14461	2927
499	14486	2897
500	14512	2867
501	14539	2838
502	14563	2808
503	14593	2779
504	14618	2750
505	14642	2720
506	14672	2691
507	14700	2662
508	14724	2632
509	14751	2603
510	14778	2574
511	14806	2544
512	14834	2515
513	14859	2486
514	14886	2456
515	14916	2428
516	14946	2399
517	14970	2369
518	14996	2340
519	15020	2310
520	15051	2282
521	15084	2253
522	15108	2224
523	15134	2195
524	15161	2165
525	15187	2136
526	15213	2107
527	15236	2077
528	15267	2049
529	15295	2020
530	15325	1991
531	15351	1962
532	15378	1933
533	15403	1903
534	15431	1874
535	15461	1846
536	15486	1816
537	15513	1787
538	15540	1758
539	15565	1729
540	15594	1700
541	15618	1671
542	15647	1642
543	15673	1613
544	15699	1584
545	15724	1555
546	15750	1526
547	15782	1497
548	15812	1468
549	15848	1440
550	15875	1411
551	15903	1382
552	15931	1353
553	15960	1325
554	15987	1296
555	16013	1267
556	16038	1238
557	16065	1209
558	16090	1180
559	16115	1151
560	16140	1122
561	16168	1093
562	16196	1064
563	16223	1035
564	16254	1006
565	16282	978
566	16308	949
567	16335	920
568	16363	891
569	16388	862
570	16413	833
571	16436	804
572	16459	775
573	16481	746
574	16509	717
575	16534	688
576	16561	660
577	16587	631
578	16613	602
579	16639	573
580	16668	545
581	16695	516
582	16720	487
583	16746	458
584	16771	430
585	16796	401
586	16825	372
587	16853	343
588	16881	315
589	16907	286
590	16935	257
591	16960	229
592	16986	200
593	17010	171
594	17038	143
595	17066	114
596	17093	85
597	17118	57
598	17145	28
599	17172	0
